,y,y.donor.oriented,i_ID,j_ID,ij_dyad_ID,k_ID,l_ID,kl_dyad_ID,il_ID,jk_ID,i_age,j_age,i_sex,j_sex,i_bmi,j_bmi,i_skin,j_skin,k_wealth,l_wealth,ij_god_relation,ij_deg_r,ij_affinal_r,kl_avg_interhouse_R,kl_sd_interhouse_R,kl_distance,kl_affair,i_avg_community_r,j_avg_community_r
21,0,0,1,22,21,1,21,21,21,673,35,21,M,F,25.39642228,21.47253459,47.8,55.1,0.19701,0.07986,0,0,0.078125,0.016867898,0.017540693,195.0922859,ref,0.013304313,0.068380996
2248,0,0,22,1,21,21,1,21,673,21,21,35,F,M,21.47253459,25.39642228,55.1,47.8,0.07986,0.19701,0,0,0.078125,0.016867898,0.017540693,195.0922859,ref,0.068380996,0.013304313
22,0,1,1,23,22,1,9,9,9,705,35,39,M,M,25.39642228,21.9375338,47.8,49,0.19701,1.118810005,0,0,0,0.09965035,0.08192359,117.4776575,ref,0.013304313,0.028540129
2355,0,0,23,1,22,9,1,9,705,9,39,35,M,M,21.9375338,25.39642228,49,47.8,1.118810005,0.19701,0,0,0,0.09965035,0.08192359,117.4776575,ref,0.028540129,0.013304313
23,0,0,1,24,23,1,16,16,16,737,35,26,M,F,25.39642228,23.680859,47.8,52.3,0.19701,0.552790001,0,0,0.078125,0.027325994,0.026098863,221.4723459,ref,0.013304313,0.070226015
2462,0,1,24,1,23,16,1,16,737,16,26,35,F,M,23.680859,25.39642228,52.3,47.8,0.552790001,0.19701,0,0,0.078125,0.027325994,0.026098863,221.4723459,ref,0.070226015,0.013304313
24,0,0,1,25,24,1,30,30,30,769,35,52,M,F,25.39642228,30.236996,47.8,59.4,0.19701,0.566279999,0,0,0.5,0.073028075,0.075780528,75.17978452,ref,0.013304313,0.125100899
2569,0,1,25,1,24,30,1,30,769,30,52,35,F,M,30.236996,25.39642228,59.4,47.8,0.566279999,0.19701,0,0,0.5,0.073028075,0.075780528,75.17978452,ref,0.125100899,0.013304313
103,0,0,1,26,25,1,15,15,15,801,35,24,M,M,25.39642228,24.31528125,47.8,51.4,0.19701,0.323029999,0,0.125,0,0.034469697,0.05043922,63.56099433,ref,0.013304313,0.02299066
11022,0,0,26,1,25,15,1,15,801,15,24,35,M,M,24.31528125,25.39642228,51.4,47.8,0.323029999,0.19701,0,0.125,0,0.034469697,0.05043922,63.56099433,ref,0.02299066,0.013304313
25,0,0,1,27,26,1,20,20,20,833,35,24,M,F,25.39642228,23.40192275,47.8,52.8,0.19701,0.851249997,0,0,0.078125,0.016867898,0.016325289,287.8419705,ref,0.013304313,0.069303506
2676,0,0,27,1,26,20,1,20,833,20,24,35,F,M,23.40192275,25.39642228,52.8,47.8,0.851249997,0.19701,0,0,0.078125,0.016867898,0.016325289,287.8419705,ref,0.069303506,0.013304313
26,1,0,1,28,27,1,10,10,10,865,35,40,M,M,25.39642228,24.1098876,47.8,48.6,0.19701,0.65041,0,0,0,0.044981061,0.051750833,4112.446109,ref,0.013304313,0.006457565
2783,0,0,28,1,27,10,1,10,865,10,40,35,M,M,24.1098876,25.39642228,48.6,47.8,0.65041,0.19701,0,0,0,0.044981061,0.051750833,4112.446109,ref,0.006457565,0.013304313
27,1,0,1,29,28,1,6,6,6,897,35,35,M,F,25.39642228,23.99705944,47.8,49,0.19701,0.24648,0,0,0.03125,0.009638799,0.011077298,27.78488798,ref,0.013304313,0.034680581
2890,0,1,29,1,28,6,1,6,897,6,35,35,F,M,23.99705944,25.39642228,49,47.8,0.24648,0.19701,0,0,0.03125,0.009638799,0.011077298,27.78488798,ref,0.034680581,0.013304313
28,1,0,1,30,29,1,14,14,14,929,35,20,M,F,25.39642228,24.13333333,47.8,50.7,0.19701,3.840829984,0,0,0.046875,0.114701705,0.097120855,497.5620564,ref,0.013304313,0.035588676
2997,0,0,30,1,29,14,1,14,929,14,20,35,F,M,24.13333333,25.39642228,50.7,47.8,3.840829984,0.19701,0,0,0.046875,0.114701705,0.097120855,497.5620564,ref,0.035588676,0.013304313
107,0,0,1,31,30,1,31,31,31,961,35,73,M,F,25.39642228,21.41203704,47.8,56.2,0.19701,1.652060002,0,0,0.25,0.043013139,0.043873517,154.1557654,ref,0.013304313,0.116005535
11450,0,0,31,1,30,31,1,31,961,31,73,35,F,M,21.41203704,25.39642228,56.2,47.8,1.652060002,0.19701,0,0,0.25,0.043013139,0.043873517,154.1557654,ref,0.116005535,0.013304313
29,0,0,1,32,31,1,11,11,11,993,35,35,M,M,25.39642228,22.6071525,47.8,45.1,0.19701,0.271620001,0,0,0.25,0.053977273,0.044602254,61.52235366,ref,0.013304313,0.085382553
3104,0,0,32,1,31,11,1,11,993,11,35,35,M,M,22.6071525,25.39642228,45.1,47.8,0.271620001,0.19701,0,0,0.25,0.053977273,0.044602254,61.52235366,ref,0.085382553,0.013304313
30,0,0,1,33,32,1,5,5,5,1025,35,75,M,F,25.39642228,22.35896149,47.8,54.9,0.19701,0.314460001,0,0,0.1875,0.026988636,0.030061974,156.7067325,ref,0.013304313,0.075011531
3211,0,0,33,1,32,5,1,5,1025,5,75,35,F,M,22.35896149,25.39642228,54.9,47.8,0.314460001,0.19701,0,0,0.1875,0.026988636,0.030061974,156.7067325,ref,0.075011531,0.013304313
31,0,0,1,34,33,1,8,8,8,1057,35,33,M,F,25.39642228,20.01429309,47.8,47.7,0.19701,0.846060004,0,0,0.25,0.053977273,0.043563061,56.30275304,ref,0.013304313,0.087458199
3318,0,1,34,1,33,8,1,8,1057,8,33,35,F,M,20.01429309,25.39642228,47.7,47.8,0.846060004,0.19701,0,0,0.25,0.053977273,0.043563061,56.30275304,ref,0.087458199,0.013304313
32,0,0,1,35,34,1,12,12,12,1089,35,48,M,M,25.39642228,20.11611691,47.8,52,0.19701,0.566839998,0,0,0.15625,0.033735795,0.027876409,585.3170081,ref,0.013304313,0.102167897
3425,0,0,35,1,34,12,1,12,1089,12,48,35,M,M,20.11611691,25.39642228,52,47.8,0.566839998,0.19701,0,0,0.15625,0.033735795,0.027876409,585.3170081,ref,0.102167897,0.013304313
33,0,0,1,36,35,1,13,13,13,1121,35,43,M,M,25.39642228,23.39761249,47.8,49.7,0.19701,0.18418,0,0,0,0.021590909,0.05248714,170.3290932,ref,0.013304313,0.02398524
3532,0,0,36,1,35,13,1,13,1121,13,43,35,M,M,23.39761249,25.39642228,49.7,47.8,0.18418,0.19701,0,0,0,0.021590909,0.05248714,170.3290932,ref,0.02398524,0.013304313
34,0,0,1,37,36,1,26,26,26,1153,35,20,M,M,25.39642228,22.86301966,47.8,49.4,0.19701,0.31169,0,0,0.25,0.11875,0.096112215,182.8004376,ref,0.013304313,0.078924988
3639,0,0,37,1,36,26,1,26,1153,26,20,35,M,M,22.86301966,25.39642228,49.4,47.8,0.31169,0.19701,0,0,0.25,0.11875,0.096112215,182.8004376,ref,0.078924988,0.013304313
35,0,0,1,38,37,1,4,4,4,1185,35,28,M,F,25.39642228,24.47776518,47.8,54.5,0.19701,0.07379,0,0,0.078125,0.016867898,0.016325289,1396.977452,ref,0.013304313,0.070226015
3746,0,0,38,1,37,4,1,4,1185,4,28,35,F,M,24.47776518,25.39642228,54.5,47.8,0.07379,0.19701,0,0,0.078125,0.016867898,0.016325289,1396.977452,ref,0.070226015,0.013304313
36,1,1,1,39,38,1,9,9,9,1217,35,39,M,F,25.39642228,28.1675972,47.8,49.8,0.19701,1.118810005,0,0,0.5,0.09965035,0.08192359,117.4776575,ref,0.013304313,0.119565844
3853,0,1,39,1,38,9,1,9,1217,9,39,35,F,M,28.1675972,25.39642228,49.8,47.8,1.118810005,0.19701,0,0,0.5,0.09965035,0.08192359,117.4776575,ref,0.119565844,0.013304313
50,1,0,1,40,39,1,14,14,14,1249,35,48,M,M,25.39642228,26.2721715,47.8,51.9,0.19701,3.840829984,0,0,0.5,0.114701705,0.097120855,497.5620564,ref,0.013304313,0.115875807
5351,0,1,40,1,39,14,1,14,1249,14,48,35,M,M,26.2721715,25.39642228,51.9,47.8,3.840829984,0.19701,0,0,0.5,0.114701705,0.097120855,497.5620564,ref,0.115875807,0.013304313
37,0,0,1,41,40,1,22,22,22,1281,35,26,M,M,25.39642228,25.42947459,47.8,50.2,0.19701,0.17186,0,0,0.015625,0.006024249,0.005236745,72.69112738,ref,0.013304313,0.039941767
3960,0,0,41,1,40,22,1,22,1281,22,26,35,M,M,25.42947459,25.39642228,50.2,47.8,0.17186,0.19701,0,0,0.015625,0.006024249,0.005236745,72.69112738,ref,0.039941767,0.013304313
38,0,0,1,42,41,1,15,15,15,1313,35,50,M,M,25.39642228,25.20642329,47.8,54,0.19701,0.323029999,0,0,0.25,0.034469697,0.05043922,63.56099433,ref,0.013304313,0.018450185
4067,0,0,42,1,41,15,1,15,1313,15,50,35,M,M,25.20642329,25.39642228,54,47.8,0.323029999,0.19701,0,0,0.25,0.034469697,0.05043922,63.56099433,ref,0.018450185,0.013304313
41,0,0,1,43,42,1,22,22,22,1345,35,44,M,F,25.39642228,22.71968369,47.8,49.7,0.19701,0.17186,0,0,0.03125,0.006024249,0.005236745,72.69112738,ref,0.013304313,0.043905673
4388,0,1,43,1,42,22,1,22,1345,22,44,35,F,M,22.71968369,25.39642228,49.7,47.8,0.17186,0.19701,0,0,0.03125,0.006024249,0.005236745,72.69112738,ref,0.043905673,0.013304313
39,1,0,1,44,43,1,3,3,3,1377,35,21,M,F,25.39642228,22.6665875,47.8,53,0.19701,0.18203,0,0,0.25,0.098140496,0.084462318,97.08243919,ref,0.013304313,0.069699896
4174,0,1,44,1,43,3,1,3,1377,3,21,35,F,M,22.6665875,25.39642228,53,47.8,0.18203,0.19701,0,0,0.25,0.098140496,0.084462318,97.08243919,ref,0.069699896,0.013304313
40,0,0,1,45,44,1,16,16,16,1409,35,59,M,M,25.39642228,22.69527123,47.8,65.3,0.19701,0.552790001,0,0,0,0.027325994,0.026098863,221.4723459,ref,0.013304313,0.024907749
4281,0,0,45,1,44,16,1,16,1409,16,59,35,M,M,22.69527123,25.39642228,65.3,47.8,0.552790001,0.19701,0,0,0,0.027325994,0.026098863,221.4723459,ref,0.024907749,0.013304313
42,1,0,1,46,45,1,17,17,17,1441,35,54,M,M,25.39642228,22.55794194,47.8,50.6,0.19701,0.332809999,0,0,0.15625,0.033735795,0.027876409,249.6477518,ref,0.013304313,0.104012915
4495,0,1,46,1,45,17,1,17,1441,17,54,35,M,M,22.55794194,25.39642228,50.6,47.8,0.332809999,0.19701,0,0,0.15625,0.033735795,0.027876409,249.6477518,ref,0.104012915,0.013304313
43,1,0,1,47,46,1,30,30,30,1473,35,26,M,M,25.39642228,25.01560874,47.8,49.7,0.19701,0.566279999,0,0,0.25,0.073028075,0.075780528,75.17978452,ref,0.013304313,0.075465579
4602,0,1,47,1,46,30,1,30,1473,30,26,35,M,M,25.01560874,25.39642228,49.7,47.8,0.566279999,0.19701,0,0,0.25,0.073028075,0.075780528,75.17978452,ref,0.075465579,0.013304313
44,1,1,1,48,47,1,1,1,1,1505,35,22,M,F,25.39642228,25.24333836,47.8,52.1,0.19701,0.19701,0,0,0.5,NA,NA,0,ref,0.013304313,0.060936059
4709,1,1,48,1,47,1,1,1,1505,1,22,35,F,M,25.24333836,25.39642228,52.1,47.8,0.19701,0.19701,0,0,0.5,NA,NA,0,ref,0.060936059,0.013304313
45,1,1,1,49,48,1,18,18,18,1537,35,53,M,M,25.39642228,21.98989237,47.8,45.5,0.19701,0.402529998,0,0,0.15625,0.026506696,0.025281744,195.4942454,ref,0.013304313,0.107241697
4816,1,1,49,1,48,18,1,18,1537,18,53,35,M,M,21.98989237,25.39642228,45.5,47.8,0.402529998,0.19701,0,0,0.15625,0.026506696,0.025281744,195.4942454,ref,0.107241697,0.013304313
46,0,0,1,50,49,1,30,30,30,1569,35,19,M,F,25.39642228,23.29881657,47.8,57.4,0.19701,0.566279999,0,0,0,0.073028075,0.075780528,75.17978452,ref,0.013304313,0.003401753
4923,0,0,50,1,49,30,1,30,1569,30,19,35,F,M,23.29881657,25.39642228,57.4,47.8,0.566279999,0.19701,0,0,0,0.073028075,0.075780528,75.17978452,ref,0.003401753,0.013304313
47,0,0,1,51,50,1,3,3,3,1601,35,19,M,F,25.39642228,23.48966659,47.8,50.3,0.19701,0.18203,0,0,0.25,0.098140496,0.084462318,97.08243919,ref,0.013304313,0.069699896
5030,0,0,51,1,50,3,1,3,1601,3,19,35,F,M,23.48966659,25.39642228,50.3,47.8,0.18203,0.19701,0,0,0.25,0.098140496,0.084462318,97.08243919,ref,0.069699896,0.013304313
48,0,0,1,52,51,1,13,13,13,1633,35,24,M,M,25.39642228,24.61064488,47.8,47.1,0.19701,0.18418,0,0,0.25,0.021590909,0.05248714,170.3290932,ref,0.013304313,0.073505247
5137,0,0,52,1,51,13,1,13,1633,13,24,35,M,M,24.61064488,25.39642228,47.1,47.8,0.18418,0.19701,0,0,0.25,0.021590909,0.05248714,170.3290932,ref,0.073505247,0.013304313
49,1,1,1,53,52,1,19,19,19,1665,35,73,M,M,25.39642228,20.98794298,47.8,50.5,0.19701,0.16473,0,0,0.5,0.215909091,0.133583158,124.5230902,ref,0.013304313,0.091530212
5244,1,1,53,1,52,19,1,19,1665,19,73,35,M,M,20.98794298,25.39642228,50.5,47.8,0.16473,0.19701,0,0,0.5,0.215909091,0.133583158,124.5230902,ref,0.091530212,0.013304313
102,0,0,1,54,53,1,15,15,15,1697,35,24,M,M,25.39642228,21.96727804,47.8,53.1,0.19701,0.323029999,0,0,0.125,0.034469697,0.05043922,63.56099433,ref,0.013304313,0
10915,0,0,54,1,53,15,1,15,1697,15,24,35,M,M,21.96727804,25.39642228,53.1,47.8,0.323029999,0.19701,0,0,0.125,0.034469697,0.05043922,63.56099433,ref,0,0.013304313
52,0,0,1,55,54,1,20,20,20,1729,35,38,M,M,25.39642228,25.33184519,47.8,57.4,0.19701,0.851249997,0,0,0,0.016867898,0.016325289,287.8419705,ref,0.013304313,0.006226937
5565,0,0,55,1,54,20,1,20,1729,20,38,35,M,M,25.33184519,25.39642228,57.4,47.8,0.851249997,0.19701,0,0,0,0.016867898,0.016325289,287.8419705,ref,0.006226937,0.013304313
53,1,0,1,56,55,1,9,9,9,1761,35,22,M,F,25.39642228,24.06290928,47.8,49.8,0.19701,1.118810005,0,0,0.25,0.09965035,0.08192359,117.4776575,ref,0.013304313,0.063472959
5672,0,1,56,1,55,9,1,9,1761,9,22,35,F,M,24.06290928,25.39642228,49.8,47.8,1.118810005,0.19701,0,0,0.25,0.09965035,0.08192359,117.4776575,ref,0.063472959,0.013304313
104,1,0,1,57,56,1,21,21,21,1793,35,23,M,M,25.39642228,15.88643347,47.8,57.9,0.19701,0.07986,0,0,0,0.016867898,0.017540693,195.0922859,ref,0.013304313,0
11129,0,1,57,1,56,21,1,21,1793,21,23,35,M,M,15.88643347,25.39642228,57.9,47.8,0.07986,0.19701,0,0,0,0.016867898,0.017540693,195.0922859,ref,0,0.013304313
54,0,0,1,58,57,1,31,31,31,1825,35,25,M,F,25.39642228,31.52017475,47.8,50.1,0.19701,1.652060002,0,0,0,0.043013139,0.043873517,154.1557654,ref,0.013304313,0.015682657
5779,0,1,58,1,57,31,1,31,1825,31,25,35,F,M,31.52017475,25.39642228,50.1,47.8,1.652060002,0.19701,0,0,0,0.043013139,0.043873517,154.1557654,ref,0.015682657,0.013304313
55,0,0,1,59,58,1,22,22,22,1857,35,48,M,M,25.39642228,22.53592684,47.8,49.1,0.19701,0.17186,0,0,0,0.006024249,0.005236745,72.69112738,ref,0.013304313,0.032287823
5886,0,0,59,1,58,22,1,22,1857,22,48,35,M,M,22.53592684,25.39642228,49.1,47.8,0.17186,0.19701,0,0,0,0.006024249,0.005236745,72.69112738,ref,0.032287823,0.013304313
56,0,0,1,60,59,1,24,24,24,1889,35,19,M,F,25.39642228,26.02909,47.8,48.3,0.19701,5.259309977,0,0,0.078125,0.033735795,0.027876409,287.5639059,ref,0.013304313,0.066535978
5993,0,0,60,1,59,24,1,24,1889,24,19,35,F,M,26.02909,25.39642228,48.3,47.8,5.259309977,0.19701,0,0,0.078125,0.033735795,0.027876409,287.5639059,ref,0.066535978,0.013304313
57,1,0,1,61,60,1,16,16,16,1921,35,47,M,F,25.39642228,23.3155615,47.8,55.3,0.19701,0.552790001,0,0,0.15625,0.027325994,0.026098863,221.4723459,ref,0.013304313,0.106319188
6100,0,1,61,1,60,16,1,16,1921,16,47,35,F,M,23.3155615,25.39642228,55.3,47.8,0.552790001,0.19701,0,0,0.15625,0.027325994,0.026098863,221.4723459,ref,0.106319188,0.013304313
58,0,0,1,62,61,1,16,16,16,1953,35,19,M,F,25.39642228,28.43247288,47.8,67,0.19701,0.552790001,0,0,0.078125,0.027325994,0.026098863,221.4723459,ref,0.013304313,0.068380996
6207,0,0,62,1,61,16,1,16,1953,16,19,35,F,M,28.43247288,25.39642228,67,47.8,0.552790001,0.19701,0,0,0.078125,0.027325994,0.026098863,221.4723459,ref,0.068380996,0.013304313
59,0,0,1,63,62,1,15,15,15,1985,35,27,M,F,25.39642228,30.40403585,47.8,52.6,0.19701,0.323029999,0,0.125,0,0.034469697,0.05043922,63.56099433,ref,0.013304313,0.024835678
6314,0,0,63,1,62,15,1,15,1985,15,27,35,F,M,30.40403585,25.39642228,52.6,47.8,0.323029999,0.19701,0,0.125,0,0.034469697,0.05043922,63.56099433,ref,0.024835678,0.013304313
60,0,0,1,64,63,1,27,27,27,2017,35,24,M,F,25.39642228,22.79666192,47.8,58.9,0.19701,0.372609999,0,0,0.078125,0.01821733,0.015964043,185.7336803,ref,0.013304313,0.071148524
6421,0,0,64,1,63,27,1,27,2017,27,24,35,F,M,22.79666192,25.39642228,58.9,47.8,0.372609999,0.19701,0,0,0.078125,0.01821733,0.015964043,185.7336803,ref,0.071148524,0.013304313
61,0,0,1,65,64,1,28,28,28,2049,35,49,M,F,25.39642228,28.11280207,47.8,46.5,0.19701,0.739500001,0,0,0.09375,0.013494318,0.024180344,180.5436235,ref,0.013304313,0.049037131
6528,0,0,65,1,64,28,1,28,2049,28,49,35,F,M,28.11280207,25.39642228,46.5,47.8,0.739500001,0.19701,0,0,0.09375,0.013494318,0.024180344,180.5436235,ref,0.049037131,0.013304313
62,0,0,1,66,65,1,5,5,5,2081,35,43,M,F,25.39642228,25.83221224,47.8,50,0.19701,0.314460001,1,0,0.09375,0.026988636,0.030061974,156.7067325,ref,0.013304313,0.051804659
6635,0,0,66,1,65,5,1,5,2081,5,43,35,F,M,25.83221224,25.39642228,50,47.8,0.314460001,0.19701,1,0,0.09375,0.026988636,0.030061974,156.7067325,ref,0.051804659,0.013304313
63,1,1,1,67,66,1,1,1,1,2113,35,44,M,F,25.39642228,27.75314343,47.8,49,0.19701,0.19701,0,0,1,NA,NA,0,ref,0.013304313,0.117259571
6742,1,1,67,1,66,1,1,1,2113,1,44,35,F,M,27.75314343,25.39642228,49,47.8,0.19701,0.19701,0,0,1,NA,NA,0,ref,0.117259571,0.013304313
64,0,0,1,68,67,1,23,23,23,2145,35,34,M,M,25.39642228,22.38251041,47.8,55.9,0.19701,2.34056999,0,0,0.015625,0.010120739,0.008362923,350.7962372,ref,0.013304313,0.017066421
